日付タイプ,model,延べ台日,平均差枚,勝率%
曜:火,スロット ソードアート・オンラインⅡ,30,-702.1,36.7
曜:火,スマスロ ゴッドイーター リザレクション,40,-87.2,35.0
曜:火,L東京喰種,70,141.4,34.3
曜:火,Lパチスロからくりサーカス,47,167.7,34.0
曜:火,回胴式遊技機グランベルム,30,-102.2,33.3
曜:火,Lパチスロ かぐや様は告らせたい,33,153.6,33.3
曜:火,スマスロ とある魔術の禁書目録2,21,-534.4,33.3
曜:火,スマスロ やじきた道中記参る！,21,-304.7,33.3
曜:火,マイジャグラーV,110,-117.1,31.8
曜:火,L戦国乙女４　戦乱に閃く炯眼の軍師,20,172.2,30.0
曜:火,スマスロ 攻殻機動隊,30,-414.8,30.0
曜:火,スマスロ ビッグドリーム THE GOLDEN PUSHER,10,27.8,30.0
曜:火,スマスロ化物語,37,-155.5,29.7
曜:火,スマスロ ストリートファイター6,14,-772.0,28.6
曜:火,Lパチスロ革命機ヴァルヴレイヴ2,100,-711.7,27.0
曜:火,Lパチスロからくりサーカス2,57,-997.4,26.3
曜:火,スマスロ バイオハザードRE:3,27,-367.9,25.9
曜:火,Lソードアート・オンライン,20,-362.6,25.0
曜:火,ヤバチバ,24,-667.1,25.0
曜:火,スマスロ新鬼武者3,33,301.6,24.2
曜:火,Lパチスロ炎炎ノ消防隊2,30,-563.4,23.3
曜:火,スロット ワールドダイスター,14,-949.9,21.4
曜:火,スマスロ 東京リベンジャーズ,30,14.5,20.0
曜:火,L無職転生～異世界行ったら本気だす～,16,-1003.4,12.5
曜:金,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,12,307.0,66.7
曜:金,スマスロ リコリス・リコイル,10,952.5,60.0
曜:金,ウルトラミラクルジャグラー,33,346.6,51.5
曜:金,パチスロ頭文字Ｄ,8,340.5,50.0
曜:金,回胴式遊技機グランベルム,33,717.9,48.5
曜:金,スマスロ とある魔術の禁書目録2,21,1584.1,47.6
曜:金,この素晴らしい世界に祝福を！,31,50.8,45.2
曜:金,マイジャグラーV,121,17.9,44.6
曜:金,スマスロ化物語,40,472.4,42.5
曜:金,Lパチスロからくりサーカス2,62,855.0,41.9
曜:金,ゴーゴージャグラー３,77,219.5,41.6
曜:金,L戦国乙女5 業火を穿つ宿焔の双刃,44,343.6,40.9
曜:金,パチスロ　甲鉄城のカバネリ,35,86.7,40.0
曜:金,Lパチスロ革命機ヴァルヴレイヴ2,110,70.9,40.0
曜:金,Lパチスロ炎炎ノ消防隊2,33,-247.8,39.4
曜:金,Lパチスロ革命機ヴァルヴレイヴ,84,533.1,38.1
曜:金,スマスロ新鬼武者3,37,-84.9,37.8
曜:金,スマスロ 甲鉄城のカバネリ 海門決戦,77,-295.5,37.7
曜:金,Lゴジラ対エヴァンゲリオン,16,492.5,37.5
曜:金,ヤバチバ,27,-354.3,37.0
曜:金,スマスロ 攻殻機動隊,33,594.5,36.4
曜:金,スマスロ ミリオンゴッド-神々の軌跡-,33,-234.2,36.4
曜:金,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,44,73.0,36.4
曜:金,真打 吉宗,22,93.5,36.4
曜:金,スロット ワールドダイスター,14,-140.3,35.7
曜:金,スマスロ ストリートファイター6,14,-671.6,35.7
曜:金,スマスロモンキーターンV,51,238.1,35.3
曜:金,ファンキージャグラー２ＫＴ,55,40.6,34.5
曜:金,L無職転生～異世界行ったら本気だす～,18,-228.9,33.3
曜:金,スマスロ やじきた道中記参る！,21,-245.0,33.3
曜:金,スマスロ北斗の拳 転生の章2,46,182.1,32.6
曜:金,L東京喰種,77,-447.5,32.5
曜:金,スマスロ モンスターハンターライズ,37,-432.6,32.4
曜:金,Lソードアート・オンライン,22,-164.0,31.8
曜:金,Lパチスロからくりサーカス,51,-236.5,31.4
曜:金,スロット ソードアート・オンラインⅡ,33,-773.1,30.3
曜:金,L真・一騎当千,27,-113.0,29.6
曜:金,スマスロ ゴッドイーター リザレクション,44,-66.6,29.5
曜:金,スマスロ 東京リベンジャーズ,33,140.9,24.2
曜:金,L戦国乙女４　戦乱に閃く炯眼の軍師,22,-424.9,22.7
曜:金,Lパチスロ かぐや様は告らせたい,37,-410.9,18.9
曜:金,忍魂参～奥義皆伝ノ章～,12,-273.5,16.7
曜:金,スマスロ バイオハザードRE:3,31,-635.2,16.1
曜:金,スマスロ ビッグドリーム THE GOLDEN PUSHER,10,-498.8,10.0
末尾:0,スマスロ やじきた道中記参る！,12,723.0,66.7
末尾:0,ウルトラミラクルジャグラー,21,401.0,57.1
末尾:0,この素晴らしい世界に祝福を！,20,523.8,55.0
