日付タイプ,model,延べ台日,平均差枚,勝率%
曜:日,L無職転生～異世界行ったら本気だす～,105,279.7,42.9
曜:日,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,645,308.9,41.2
曜:日,戦国コレクション6,80,-327.6,41.2
曜:日,Lバンドリ！,150,60.7,40.7
曜:日,Lパチスロうみねこのなく頃に2,52,-221.8,40.4
曜:日,Lパチスロ革命機ヴァルヴレイヴ2,208,220.8,40.4
曜:日,スマスロ シャーマンキング,30,404.8,40.0
曜:日,スマスロとある科学の超電磁砲2,88,-60.6,39.8
曜:日,スマスロ スーパーリオエース2,189,73.3,39.7
曜:日,スマスロ化物語,255,-12.0,39.2
曜:日,スロット ソードアート・オンラインⅡ,212,-104.4,39.2
曜:日,Lパチスロガールズ＆パンツァー 最終章,105,102.8,39.0
曜:日,真打 吉宗,118,-154.4,39.0
曜:日,Lパチスロ炎炎ノ消防隊2,186,-4.2,38.7
曜:日,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,39,268.4,38.5
曜:日,L少女☆歌劇 レヴュースタァライト -The SLOT-,96,153.0,37.5
曜:日,L南国育ち SPECIAL,8,226.5,37.5
曜:日,スマスロ 七つの魔剣が支配する,30,-41.6,36.7
曜:日,アニマルスロット ドッチ,30,103.2,36.7
曜:日,スマスロモンキーターンV,93,-134.6,36.6
曜:日,Lアズールレーン THE ANIMATION,120,-527.0,34.2
曜:日,スマスロ とある魔術の禁書目録2,68,-706.0,33.8
曜:日,スマスロ ミリオンゴッド-神々の軌跡-,134,-256.3,33.6
曜:日,スマスロ バイオハザードRE:3,60,-238.8,33.3
曜:日,スマスロ とんでもスキルで異世界放浪メシ,24,-692.2,33.3
曜:日,Lパチスロ かぐや様は告らせたい,37,-821.4,29.7
曜:日,スマスロヨルムンガンド,24,-535.3,29.2
曜:日,スマスロBIRDIE WING-Golf Girls’ Story-,14,-907.6,28.6
曜:日,スマスロ 攻殻機動隊,84,-305.8,27.4
曜:日,スマスロ ゴッドイーター リザレクション,12,-349.3,25.0
