日付タイプ,model,延べ台日,平均差枚,勝率%
末尾:3,スマスロ リコリス・リコイル,16,-228.0,43.8
末尾:3,スマスロ ハナビ,30,-46.2,43.3
末尾:3,戦国コレクション6,12,-412.3,41.7
末尾:3,スマスロ北斗の拳 転生の章2,92,401.1,41.3
末尾:3,スマスロ とある魔術の禁書目録2,25,540.8,40.0
末尾:3,スマスロ やじきた道中記参る！,15,25.4,40.0
末尾:3,ゴーゴージャグラー３,48,-80.1,39.6
末尾:3,ファンキージャグラー２ＫＴ,64,-154.6,39.1
末尾:3,いざ！番長,24,-364.1,37.5
末尾:3,Lパチスロ炎炎ノ消防隊2,27,-294.4,37.0
末尾:3,スマスロモンキーターンV,40,247.1,35.0
末尾:3,ネオアイムジャグラーEX,40,11.5,35.0
末尾:3,ジャグラーガールズSS,32,43.9,34.4
末尾:3,マイジャグラーV,128,-185.4,34.4
末尾:3,スマスロ化物語,12,-302.7,33.3
末尾:3,スマスロBIRDIE WING-Golf Girls’ Story-,12,-764.7,33.3
末尾:3,スマスロケロット5BT,12,-213.5,33.3
末尾:3,スマスロ 甲鉄城のカバネリ 海門決戦,52,-487.6,32.7
末尾:3,真打 吉宗,40,-288.4,32.5
末尾:3,スロット ワールドダイスター,10,-350.6,30.0
