daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2064,スマスロ ゴッドイーター リザレクション,197,-17.9,34.5,15802,,0.173
2146,L戦国乙女４　戦乱に閃く炯眼の軍師,199,-139.7,34.7,11709,2114,0.173
2088,スマスロ化物語,201,-208.3,34.3,7309,1506,0.172
3013,,201,-84.7,34.3,13673,9538,0.172
3057,,200,-120.2,34.5,14221,,0.172
3100,Lバンドリ！,204,-210.6,34.3,9779,-4295,0.172
4138,,198,-193.0,34.3,9605,1301,0.172
2062,,200,-135.6,34.0,14310,,0.17
4025,Sky Love,197,-122.6,34.0,11169,208,0.17
2170,スマスロ化物語,204,-177.9,33.8,16309,1613,0.169
4059,,198,-125.8,33.8,11204,11204,0.169
2073,,200,-264.4,33.5,12445,3812,0.168
2085,スマスロ化物語,197,-62.9,33.5,9707,916,0.168
2117,L戦国乙女5 業火を穿つ宿焔の双刃,199,-99.5,33.7,18361,12997,0.168
3061,,202,-235.5,33.7,14501,5709,0.168
4123,,199,-165.0,33.7,11091,1803,0.168
2002,,198,-446.2,33.3,12527,,0.167
2090,,204,-130.8,33.3,12677,-1101,0.167
3011,,199,-477.7,33.2,18474,9404,0.166
4127,,202,-173.1,33.2,9720,6230,0.166
4137,,199,-140.2,33.2,13766,,0.166
4146,Lパチスロガールズ＆パンツァー 最終章,199,-146.3,33.2,12685,3198,0.166
2120,L戦国乙女5 業火を穿つ宿焔の双刃,204,-152.3,32.8,17771,104,0.164
3067,,198,-363.9,32.8,17883,2201,0.164
4020,,204,-344.3,32.8,12277,5827,0.164
4060,,204,9.9,32.4,17214,202,0.164
3146,,199,-264.3,32.7,13176,,0.163
3056,,198,-542.8,32.3,11702,,0.162
4013,,198,-363.2,32.3,10036,,0.162
3016,,197,-237.4,31.5,18475,,0.157
4056,,197,-420.2,31.5,10790,,0.157
2089,,199,-155.4,30.2,13921,5002,0.151
3060,,204,-575.7,29.9,11592,-2199,0.15
4151,スマスロモンキーターンV,198,-247.3,29.8,9004,4102,0.149
4147,Lパチスロガールズ＆パンツァー 最終章,199,-218.8,29.6,15208,,0.148
3069,,198,-360.6,27.8,15704,,0.139
