日付タイプ,model,延べ台日,平均差枚,勝率%
曜:月,Lパチスロからくりサーカス,18,-449.8,16.7
曜:月,スマスロ新鬼武者3,16,-10.2,12.5
曜:月,スマスロとある科学の超電磁砲2,10,14.0,10.0
曜:月,スマスロ シャーマンキング,18,-563.2,5.6
曜:月,スマスロ鉄拳6,8,-324.5,0.0
曜:木,沖ドキ！ＧＯＬＤ,21,347.7,66.7
曜:木,スロット ワールドダイスター,8,-56.0,62.5
曜:木,Lパチスロうみねこのなく頃に2,22,198.8,54.5
曜:木,L南国育ち SPECIAL,24,770.5,54.2
曜:木,マイジャグラーV,720,293.9,52.6
曜:木,A-SLOT+ ディスクアップ ULTRAREMIX,22,333.3,50.0
曜:木,Lソードアート・オンライン,10,724.0,50.0
曜:木,戦国コレクション6,24,105.0,50.0
曜:木,ファンキージャグラー２ＫＴ,118,268.1,48.3
曜:木,スマスロ ハナビ,52,101.8,48.1
曜:木,沖ドキ！ＧＯＬＤ-30,240,-257.5,45.8
曜:木,沖ドキ!ゴージャス 30Φ,105,-154.7,45.7
曜:木,ネオアイムジャグラーEX,390,196.8,44.6
曜:木,スマスロ ストリートファイター6,16,-420.8,43.8
曜:木,ゴーゴージャグラー３,210,119.2,43.3
曜:木,スマスロ 攻殻機動隊,60,570.3,43.3
曜:木,Lスマスロ北斗の拳,96,98.4,42.7
曜:木,ミスタージャグラー,45,-1.9,42.2
曜:木,L東京喰種,262,373.7,41.6
曜:木,スマスロ北斗の拳 転生の章2,189,56.1,40.2
曜:木,沖ドキ！BLACK,60,-351.0,38.3
曜:木,L戦国乙女5 業火を穿つ宿焔の双刃,96,8.2,37.5
曜:木,スロット ソードアート・オンラインⅡ,92,-110.1,37.0
曜:木,スマスロ 甲鉄城のカバネリ 海門決戦,208,-151.7,36.5
曜:木,スマスロ ゴッドイーター リザレクション,45,-7.2,35.6
曜:木,スマスロ モンスターハンターライズ,45,57.2,35.6
曜:木,スマスロ とある魔術の禁書目録2,20,-323.8,35.0
曜:木,ジャグラーガールズSS,75,-80.5,34.7
曜:木,スマスロモンキーターンV,120,124.1,34.2
曜:木,スマスロ 沖ドキ!DUO アンコール,53,-51.9,34.0
曜:木,Lパチスロ炎炎ノ消防隊2,90,-35.1,33.3
曜:木,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,45,-155.3,33.3
曜:木,スマスロ新鬼武者3,18,-329.6,33.3
曜:木,ハッピージャグラーＶＩＩＩ,62,-142.2,32.3
曜:木,キングハナハナ-30,150,-61.0,32.0
曜:木,アレックス ブライト,22,-209.9,31.8
曜:木,ウルトラミラクルジャグラー,60,-185.4,31.7
曜:木,Lパチスロ革命機ヴァルヴレイヴ2,52,333.7,30.8
曜:木,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,53,285.2,30.2
曜:木,スマート沖スロ ニューキングハナハナV,73,-187.9,30.1
曜:木,Lラブ嬢3～Wご指名はいかがですか?～,30,-315.1,30.0
曜:木,真打 吉宗,90,26.1,28.9
曜:木,ニューキングハナハナV‐30,45,-110.4,28.9
曜:木,スマスロ ビッグドリーム THE GOLDEN PUSHER,29,-981.9,27.6
曜:木,スマスロ化物語,73,-176.5,27.4
曜:木,スマスロ バイオハザードRE:3,63,64.5,27.0
曜:木,Lアズールレーン THE ANIMATION,41,-282.7,26.8
