daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
1103,Lソードアート・オンライン,202,239.4,48.0,10186,,0.3
1126,,202,317.3,44.1,11162,,0.3
1208,スマスロ 甲鉄城のカバネリ 海門決戦,201,285.9,45.8,14511,7069,0.3
772,スマスロ スーパーブラックジャック,201,362.0,41.8,17162,,0.299
883,L無職転生～異世界行ったら本気だす～,199,321.7,43.7,10325,3302,0.299
1070,,207,314.2,44.0,12697,2279,0.298
1177,,200,292.5,45.0,14139,604,0.298
1227,L ToLOVEるダークネス,201,297.7,44.8,15813,,0.298
1310,Lパチスロ革命機ヴァルヴレイヴ2,158,394.6,39.9,13348,-582,0.298
810,L東京喰種,207,310.5,44.0,10325,-140,0.297
1212,スマスロ 甲鉄城のカバネリ 海門決戦,201,352.7,41.8,18604,4116,0.297
726,戦国コレクション6,198,465.1,35.9,14511,,0.296
1101,Lソードアート・オンライン,201,255.3,46.3,10186,0,0.295
806,L東京喰種,200,286.9,44.5,10883,6860,0.294
1060,,207,305.1,43.5,14000,1953,0.294
677,,202,241.2,46.5,14883,,0.293
716,,201,186.4,49.3,4116,930,0.293
861,スロット ゾンビランドサガ,200,409,38.0,18372,,0.292
1225,スマスロ 甲鉄城のカバネリ 海門決戦,200,267.1,45.0,9883,,0.292
1107,,202,265,45.0,16325,2279,0.291
1180,,207,304.7,43.0,13348,186,0.291
657,,199,317.2,42.2,15255,,0.29
706,,201,176.6,49.3,4116,162,0.29
1030,L戦国乙女5 業火を穿つ宿焔の双刃,207,291.0,43.5,13767,-419,0.29
1221,スマスロ 甲鉄城のカバネリ 海門決戦,199,294.1,43.2,12534,,0.29
851,Lパチスロ炎炎ノ消防隊2,200,205.4,47.5,11023,,0.289
1108,,200,304.1,42.5,12000,1534,0.289
1160,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,207,323.7,41.5,11860,-3256,0.289
626,パチスロ　戦姫絶唱シンフォギア　勇気の歌,201,226.8,46.3,9302,,0.288
611,Lバンドリ！,201,333.4,40.8,13511,162,0.287
857,スロット ゾンビランドサガ,201,283.4,43.3,14883,4255,0.287
1085,Lソードアート・オンライン,200,276.8,43.5,13511,,0.287
672,,202,253.2,44.6,18604,,0.286
613,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,253.1,44.2,7720,,0.284
616,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,265.3,43.5,11581,,0.284
713,,204,184.7,47.5,4953,604,0.284
1308,Lパチスロ革命機ヴァルヴレイヴ2,201,288.7,42.3,16953,2139,0.284
1113,,203,304.8,41.4,11883,604,0.283
1306,Lパチスロ革命機ヴァルヴレイヴ2,202,261.8,43.6,12697,,0.283
708,,201,231.6,44.8,4953,465,0.282
886,L無職転生～異世界行ったら本気だす～,200,247.4,44.0,14139,1534,0.282
710,,207,224.5,44.9,4813,1372,0.281
738,スマスロ とんでもスキルで異世界放浪メシ,200,222.7,45.0,11302,,0.281
1265,L ToLOVEるダークネス,201,238.6,44.3,14325,,0.281
756,,199,234.2,44.2,14511,,0.28
878,,199,276.6,42.2,13023,,0.28
1305,Lパチスロ革命機ヴァルヴレイヴ2,199,282.8,41.7,17372,,0.279
681,,202,201.2,45.5,11232,3348,0.278
728,戦国コレクション6,198,268.2,41.9,11883,8511,0.277
1100,Lソードアート・オンライン,207,278.8,41.5,17372,-2977,0.277
835,Lパチスロ炎炎ノ消防隊2,199,237.9,43.2,18837,,0.276
858,スロット ゾンビランドサガ,202,209.9,44.6,12860,1209,0.275
1168,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,260.9,41.7,16000,162,0.274
1202,,204,195.1,45.1,14883,,0.274
